"","ID","os","day","day.of.week","within.day","SurveyType","RunTimestamp","SubmissionTimestamp","v1","v2","v3","t1","t2","t3","f1","f2","f3","WHAT","HOW","WHOM","nPeople","d1","d2","d3","d4","c1","c2","c3","gender","age","job","jobOut","job.sector","work.hours","noQs","respRate"
"1","S001","iOS",1,1,2,"work",2018-12-03 10:22:29.818,2018-12-03 10:24:34.655,4,3,5,6,1,2,7,4,6,"ANALYSIS","PC","COLL",1,5,4,3,3,4,7,4,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"2","S001","iOS",1,1,3,"work",2018-12-03 12:05:17.028,2018-12-03 12:07:35.108,3,4,4,2,2,3,5,5,6,"NETWORKING","FACE2FACE","COLL,OVER",5,5,2,4,3,1,1,3,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"3","S001","iOS",1,1,4,"work",2018-12-03 13:27:32.486,2018-12-03 13:30:19.122,2,4,2,2,2,2,3,4,4,"BREAK,NETWORKING","FACE2FACE","COLL,FAMILY",5,5,3,2,2,1,2,2,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"4","S001","iOS",1,1,7,"work",2018-12-03 18:00:27.003,2018-12-03 18:02:27.523,2,4,4,3,5,3,7,6,6,"AUTHORING,DISSEMINATION","PC","ALONE",0,5,5,3,5,3,7,7,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"5","S001","iOS",2,3,3,"work",2018-12-05 11:56:18.042,2018-12-05 11:58:28.309,3,3,3,4,2,3,4,3,3,"NETWORKING,ADMINISTRATIVE","FACE2FACE,PC,SMARTPHONE","COLL,OVER,UNDER",50,3,2,2,3,1,1,1,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"6","S001","iOS",2,3,6,"work",2018-12-05 16:34:15.809,2018-12-05 16:35:57.342,3,4,5,3,4,1,6,6,6,"NETWORKING","FACE2FACE,PC","COLL,OVER",30,1,1,2,2,1,1,1,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"7","S001","iOS",2,3,7,"work",2018-12-05 17:59:33.931,2018-12-05 18:01:33.408,3,4,3,4,2,2,6,5,5,"OTHER","PC,FACE2FACE","COLL",1,4,5,3,3,7,7,7,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"8","S001","iOS",3,5,3,"work",2019-01-25 12:00:19.520,2019-01-25 12:01:52.039,2,3,2,3,6,2,3,3,3,"ACQUISITION,ANALYSIS,AUTHORING","PC,FACE2FACE","ALONE",0,5,3,6,4,6,7,7,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"9","S001","iOS",3,5,4,"work",2019-01-25 13:25:59.592,2019-01-25 13:27:42.523,2,4,4,3,4,1,4,3,3,"BREAK,AUTHORING","PC,OTHER","ALONE",0,5,2,5,5,7,6,6,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"10","S001","iOS",3,5,6,"work",2019-01-25 16:48:54.589,2019-01-25 16:50:44.785,3,4,3,3,2,2,6,7,6,"ACQUISITION,ANALYSIS,AUTHORING","PC","ALONE",0,6,6,3,6,7,7,7,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"11","S001","iOS",3,5,7,"work",2019-01-25 18:10:32.273,2019-01-25 18:12:00.786,4,3,2,4,2,3,7,6,6,"ACQUISITION","PC","ALONE",0,5,5,3,5,7,7,7,"M",33,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"12","S002","iOS",1,5,1,"baseline",2019-01-18 09:15:05.562,2019-01-18 09:16:53.746,3,3,4,3,7,7,7,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"13","S002","iOS",1,5,2,"work",2019-01-18 10:38:03.703,2019-01-18 10:39:25.273,2,5,3,4,6,6,5,4,6,"ACQUISITION","PC","ALONE",0,3,1,1,2,6,6,6,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"14","S002","iOS",1,5,4,"work",2019-01-18 13:41:13.302,2019-01-18 13:42:26.176,2,4,3,6,5,5,4,3,4,"ACQUISITION","PC","ALONE",0,5,4,3,4,6,6,6,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"15","S002","iOS",1,5,5,"work",2019-01-18 14:59:52.950,2019-01-18 15:00:56.328,4,2,4,2,5,5,2,2,3,"ACQUISITION","PC","ALONE",0,5,3,3,4,6,6,6,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"16","S002","iOS",1,5,7,"work",2019-01-18 18:10:34.983,2019-01-18 18:11:29.184,4,5,3,3,5,6,2,3,6,"ACQUISITION","PC","ALONE",0,6,4,3,6,6,6,6,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"17","S002","iOS",2,1,3,"work",2019-01-21 12:09:16.088,2019-01-21 12:10:24.674,3,3,3,3,5,3,5,5,4,"ACQUISITION","PC","ALONE",0,4,3,5,4,6,6,6,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"18","S002","iOS",2,1,4,"work",2019-01-21 13:29:44.930,2019-01-21 13:30:41.355,3,5,4,3,5,5,4,4,4,"ACQUISITION","PC","ALONE",0,5,3,6,7,6,7,6,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
"19","S002","iOS",2,1,5,"work",2019-01-21 14:57:25.759,2019-01-21 14:58:09.660,4,3,3,5,6,6,2,2,3,"ACQUISITION","PC","ALONE",0,4,4,6,6,6,6,7,"M",29,"Science and engineering professionals",FALSE,"Public",50,0,"3"
