"","ID","gender","age","job","jobOut","job.sector","work.hours","JAWS1","JAWS2","JAWS3","JAWS4","JAWS5","JAWS6","JAWS7","JAWS8","JAWS9","JAWS10","JAWS11","JAWS12","CBI1","CBI2","CBI3","CBI4","CBI5","CBI6","CBI7","d1","d2","d3","d4","d5","c1","c2","c3","c4","c5","noQs","respRate"
"1","S001","M",33,"Science and engineering professionals",FALSE,"Public",50,1,3,1,1,4,4,3,5,4,5,5,1,4,1,2,3,2,2,2,4,4,5,5,5,4,4,2,4,5,0,"3"
"2","S002","M",29,"Science and engineering professionals",FALSE,"Public",50,5,5,2,3,3,5,3,3,4,3,3,1,5,2,2,3,4,4,3,2,5,4,5,5,4,5,1,5,5,0,"3"
"3","S176","M",44,"Production and specialised services managers",FALSE,"Private",60,3,3,2,2,1,2,4,4,4,4,4,2,3,1,1,4,4,1,1,5,4,4,5,3,4,4,2,4,4,0,"0"
"4","S003","F",42,"General and keyboard clerks",FALSE,"Private",40,3,2,2,2,3,2,2,3,2,3,3,3,2,2,2,4,2,2,2,3,3,2,3,3,3,3,3,3,3,0,"2"
"5","S004","F",40,"Business and administration associate professionals",FALSE,"Public",50,3,2,3,4,2,3,4,4,4,4,4,4,3,3,3,4,2,2,3,4,4,3,4,4,4,4,2,4,4,0,"3"
"6","S005","M",43,"Science and engineering professionals",FALSE,"Public",50,3,3,2,2,2,4,4,3,3,4,3,2,4,3,3,3,3,3,2,3,4,3,4,4,4,3,3,4,3,0,"3"
"7","S006","F",59,"Business and administration professionals",FALSE,"Private",46,4,4,4,5,4,3,2,2,3,3,3,1,4,4,4,2,5,4,4,4,5,4,4,4,3,3,4,2,2,0,"3"
"8","S007","M",41,"Building and related trades workers, excluding electricians",TRUE,"Private",55,3,3,2,3,3,3,4,4,4,5,4,4,3,2,1,5,4,3,1,5,4,4,4,4,5,5,1,5,5,0,"2"
"9","S177","F",33,"Administrative and commercial managers",FALSE,"Private",50,3,5,2,3,3,4,2,3,3,3,3,2,5,4,3,3,4,4,4,5,5,5,5,5,3,4,3,4,3,0,"0"
"10","S008","F",33,"Administrative and commercial managers",FALSE,"Private",40,2,1,1,1,1,2,3,2,3,4,4,4,3,2,2,4,1,1,2,2,2,1,2,2,4,4,3,4,4,0,"2"
"11","S009","M",44,"Production and specialised services managers",FALSE,"Private",45,3,2,2,1,1,3,3,3,3,5,4,4,4,3,2,4,4,3,2,5,4,4,5,3,4,4,1,4,4,0,"2"
"12","S010","F",29,"Administrative and commercial managers",FALSE,"Private",48,4,3,2,3,2,5,3,1,1,3,2,1,5,5,4,1,4,5,4,5,5,4,5,4,5,5,1,5,4,0,"3"
"13","S011","M",29,"General and keyboard clerks",FALSE,"Private",37,4,4,3,3,3,4,2,3,3,3,3,2,3,3,3,4,4,3,3,4,4,3,4,3,2,2,4,2,2,0,"3"
"14","S012","F",33,"Business and administration professionals",FALSE,"Private",45,2,5,1,1,1,4,5,4,5,4,4,2,3,2,2,5,3,1,1,4,5,4,4,3,4,5,1,4,4,0,"1"
"15","S013","M",51,"Chief executives, senior officials and legislators",FALSE,"Private",45,1,3,1,2,2,3,4,4,5,4,4,3,4,3,2,3,3,3,1,5,5,5,4,4,5,5,1,5,5,0,"3"
"16","S178","F",28,"Business and administration associate professionals",FALSE,"Private",42,3,5,3,5,5,1,1,2,2,2,3,1,3,2,2,3,3,3,3,3,3,4,4,3,3,2,4,3,3,0,"0"
"17","S014","F",32,"Science and engineering professionals",FALSE,"Private",38,1,2,1,1,1,3,4,4,3,5,4,3,3,2,2,3,3,2,2,3,3,2,4,2,3,5,1,4,4,0,"3"
"18","S179","M",25,"Business and administration professionals",FALSE,"Private",40,1,1,1,3,3,1,1,1,1,2,1,2,4,1,3,2,1,2,5,4,1,2,3,1,1,1,1,2,4,0,"0"
"19","S015",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2"
"20","S016","F",24,"Business and administration professionals",FALSE,"Private",50,4,3,1,3,3,5,3,3,4,2,3,3,5,4,3,3,3,4,4,4,3,2,3,2,3,3,3,2,5,0,"3"
"21","S180","M",38,"Social and religious professionals",FALSE,"Private",38,2,1,3,2,2,4,4,4,4,4,4,2,2,2,1,3,4,3,3,1,3,2,1,1,3,3,3,3,3,0,"0"
"22","S017","M",46,"Business and administration associate professionals",FALSE,"Private",38,1,1,1,1,1,3,3,3,1,3,4,3,2,1,1,5,3,2,2,2,2,2,3,1,3,3,2,3,3,0,"3"
"23","S018","M",58,"Production and specialised services managers",FALSE,"Private",40,2,2,1,1,1,1,3,2,4,3,3,3,2,1,1,4,2,1,1,3,2,3,4,4,4,3,4,3,3,0,"3"
"24","S019","M",29,"Business and administration associate professionals",FALSE,"Private",50,4,3,2,2,1,4,3,4,5,4,3,1,3,2,1,4,2,2,1,4,3,5,5,5,5,5,2,4,5,0,"3"
"25","S020",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"3"
"26","S021","F",31,"General and keyboard clerks",FALSE,"Private",40,4,4,2,2,2,3,2,2,2,3,3,1,4,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,0,"3"
"27","S022","M",30,"Science and engineering professionals",FALSE,"Public",8,4,2,1,3,2,3,3,2,1,4,4,2,3,3,3,5,1,2,1,3,4,2,3,3,3,4,2,4,4,0,"3"
"28","S023","M",53,"Teaching professionals",TRUE,"Private",38,3,3,1,1,3,3,4,5,5,5,5,3,3,2,3,4,4,2,1,5,4,4,5,5,4,4,3,4,5,0,"1"
"29","S024","F",32,"Science and engineering professionals",FALSE,"Private",39,1,2,1,4,5,2,2,1,1,3,1,3,3,3,2,3,1,5,5,2,2,2,2,2,3,3,2,4,4,0,"2"
"30","S025","M",29,"Science and engineering professionals",FALSE,"Public",45,2,3,1,3,3,4,3,2,3,4,3,2,3,3,2,2,3,3,3,2,3,5,4,4,4,3,3,4,3,0,"3"
"31","S026","M",44,"Chief executives, senior officials and legislators",FALSE,"Private",40,3,2,1,2,2,3,3,3,3,4,4,3,2,1,1,3,3,2,3,4,4,4,4,3,4,5,2,5,5,0,"3"
"32","S027",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"3"
"33","S028","F",32,"Health professionals",FALSE,"Private",38,2,1,1,2,1,3,3,3,3,3,3,3,3,1,1,5,4,3,3,3,5,2,2,2,4,4,1,5,4,0,"3"
"34","S029","M",29,"Business and administration professionals",FALSE,"Private",44,3,3,1,1,3,3,4,4,4,4,4,3,3,2,2,3,2,2,2,4,3,4,4,3,4,4,3,4,4,0,"2"
"35","S030","M",45,"Science and engineering professionals",FALSE,"Public",55,3,4,4,4,4,4,3,3,3,3,3,2,4,2,2,3,4,2,3,3,5,4,4,4,4,4,3,3,3,0,"3"
"36","S181","M",58,"Business and administration associate professionals",FALSE,"Private",40,1,1,1,1,1,3,5,4,5,5,4,3,1,2,1,5,2,1,1,4,3,3,4,2,2,2,2,2,4,0,"0"
"37","S031","F",29,"Business and administration professionals",FALSE,"Private",10,2,1,1,4,1,1,5,5,5,3,3,1,3,1,1,2,1,2,1,3,5,2,3,1,3,5,3,1,5,0,"1"
"38","S032","F",26,"Administrative and commercial managers",FALSE,"Private",38,3,3,2,3,2,3,4,3,3,3,4,3,4,3,3,3,3,2,2,3,3,3,5,4,4,4,3,3,4,0,"2"
"39","S033","F",34,"Science and engineering professionals",FALSE,"Public",40,3,5,2,2,3,4,4,4,4,4,4,3,4,3,2,4,4,3,3,4,3,3,4,3,3,3,3,3,4,0,"3"
"40","S034","M",33,"Information and communications technology professionals",FALSE,"Private",40,2,2,1,1,1,2,2,3,3,4,4,2,3,2,1,3,2,1,1,2,2,1,3,2,3,3,1,3,4,0,"3"
